feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,label
-682.0725477087,66.9356384617,8.580050547,19.8620700685,10.1490729239,-1.0467045734,7.8402378172,-6.8476200655,0.2742688195,-0.7296547099,0.0360302567,-0.3384572152,-2.3687133864,3.1025172502,-2.2622899535,-0.8803459535,-2.3875040624,3.279836608,1.1661986034,2.4039030409,1
-683.3022417488,66.909806244,10.0150040321,20.2516192848,8.1783921948,3.1276019478,5.7518350127,-6.293849308,-2.2719020022,0.0426940212,1.3677789324,-0.4329180158,-0.7755957375,3.2662931851,-4.1669846098,0.7350495554,-2.6984760163,4.3338262483,0.8420443613,2.7862550463,1
-694.8612412706,63.9092260515,10.3900358242,20.0506477828,10.496702013,0.3277736686,8.2841127564,-8.5979871451,1.3802654994,-0.6132245022,1.0049242774,-1.2877651701,-2.942540914,5.0271236121,-2.112745214,1.193133537,-1.5163568433,3.7473805772,-0.2023022708,3.5977271542,1
-694.0316858351,44.8167767128,-6.4944655261,0.8007221719,-6.7595507579,-7.7676561885,-9.9266103274,-12.6711814592,-9.1348428342,-6.2775930159,-8.7338604664,-4.452623039,-4.8184289789,-6.4569856916,-2.9106118389,-4.8175721172,-5.935596948,-3.1190922824,-6.6658440244,-4.0564532906,1
-681.348931565,44.4193190817,-6.5952179295,3.5612982517,-7.1004575293,-6.0442824678,-9.8309420742,-12.6272831418,-6.3452109604,-4.9401124396,-7.1748056286,-1.7469443636,-4.1780345063,-6.9360785046,-1.0807325447,-5.7067723723,-4.9031692344,-2.7925295121,-6.0465233568,-3.1343100987,1
-693.7769843565,43.2013443228,-11.6575332735,1.3156625861,-6.5553843073,-10.0048187083,-9.3504146527,-12.7801602022,-9.264297554,-4.9403204633,-9.6410818893,-4.9224231909,-4.0523087502,-7.3184822227,-3.889036541,-3.9613235951,-6.6300120477,-3.6459821868,-5.5477265457,-3.4118395789,1
-678.9459547135,40.6074793037,-4.7658614317,3.7823344885,-7.0501741071,-5.6934953445,-13.1511468116,-13.5578146199,-8.0098505258,-6.1982263233,-8.354295998,-3.7332672482,-2.3345224649,-6.817512859,-1.3974289137,-3.8028755808,-6.0191142737,-2.1403064663,-5.5949041659,-3.8971158943,1
-707.3824935382,55.5948854115,4.4507500828,3.9792701643,6.6071067589,-2.2647012798,-3.0066694627,-5.9477690443,-9.9193937393,-5.4179987741,-0.2062470067,-6.056978152,-0.4286246537,-0.8035058706,0.1101292001,-4.2078340179,-6.690176082,0.9882650304,-6.3556454059,-1.3752684685,1
-686.0150113793,51.9354637225,3.1415046153,-0.3724375283,4.6127343829,-1.5195229049,-7.2419470317,-10.4517131567,-10.1913043689,-2.5060485951,0.1720708677,-8.1967011232,-3.6050526942,-1.1516977709,0.4523725731,-4.1650243262,-4.8184070633,0.7109627279,-6.7353458748,-1.8330964823,1
-670.4414290644,42.2319036591,0.4339499765,1.4726158012,6.7212562081,-4.234560558,-8.1916992192,-7.4508731665,-9.7463066272,-3.4512549539,-0.6678755194,-6.6656584561,-3.1631306931,-2.2056624088,0.204481227,-3.8435719916,-4.9982290177,-0.4523235628,-6.2999619583,-1.0678016282,1
-679.3863974963,46.2911496396,3.945307102,2.9879394634,6.2910205581,-1.1192160374,-2.9723032174,-11.3073051312,-11.4907348144,-2.5340849701,0.87741293,-7.5598188609,-2.6241178796,-1.5717215565,-1.0521889839,-3.104126901,-4.7891912157,1.2851450378,-5.8600014153,-1.7584398081,1
-768.0760518885,67.1141872306,15.8641485723,20.4219703242,13.0351398484,7.9934915229,0.2940082448,-2.8778803706,-2.7187549549,4.042193646,-5.8859003612,1.4222179374,0.3806978578,0.4766427928,-1.2733923975,3.1707503264,-1.9756369081,3.5937448375,-3.7909856363,2.2257883717,1
-741.9853041228,91.8207789079,22.3315790786,30.9625253379,23.3829434617,10.670720794,4.943654151,6.0189901522,5.5663788213,8.3476626375,-0.4457311633,6.6896487042,7.1306075231,4.2503968045,3.3230729125,5.468667879,1.5929730663,8.5303274232,-1.6997283023,5.9837475265,1
-777.3127224411,78.4227011597,14.4752991212,20.2365411185,13.7713354384,5.6016801839,1.2088499229,-0.9896571547,2.6824682064,5.6016376571,-6.7427146296,4.2643246987,3.946899785,-0.2880600985,0.89390234,2.458458392,-3.0999612831,5.6966432537,-5.9038257308,1.0430511547,1
-763.2173789633,72.1856465469,12.9301050577,20.6994235248,12.4825335514,4.9167019007,1.239720486,-2.1838129438,-2.2554454431,3.9103069041,-5.5916998763,2.2230477849,0.8545592748,1.262710266,0.6642944088,1.9440191448,-0.6346554969,3.2562301459,-4.743911953,2.6077268458,1
-630.0590899259,54.6315289269,-6.4614301032,3.8474321841,13.4370333269,-6.539992682,-3.1807046844,-1.8859592835,-10.5373337086,-5.8430766518,-0.8719861295,-1.3949382273,-5.4556304657,1.7773639416,-6.5335691358,1.213150563,-4.403808338,-4.6030685264,-4.1726464164,-0.5777312874,1
-620.4849359236,60.5654277783,-2.6267695392,4.6733454168,14.7741818517,-5.4302975663,-3.7627206209,-2.8112911046,-11.0900299089,-5.0641001618,-1.1377810247,-1.9742378899,-5.3261731604,1.6720511609,-6.9005122426,1.0998900407,-4.8346078042,-4.1565789336,-4.4299352076,-2.0140912649,1
-625.1916954179,61.3618928673,-3.9964253302,7.4979457243,17.2786850061,-3.9747437033,-0.8778401641,0.8460999027,-7.8707117741,-4.7630661493,1.9632162375,-0.2003292097,-2.8658769013,2.4996328418,-4.7195286316,2.6395558432,-1.7647765841,-2.5102127829,-2.7849949088,0.5729327936,1
-648.0737928288,62.742189128,-2.7098164257,7.3614111955,13.4059969683,-4.1544620975,-4.703222325,-2.7462491329,-8.8069561008,-6.5561705472,-0.3729049604,-2.3784873409,-4.6107545602,1.4454561627,-6.1250173519,3.1280617067,-3.8328126337,-3.3653188801,-3.4568537386,-0.6354784646,1
-642.0772808338,48.3150789354,-8.8007450974,4.3334020763,-4.5294199999,-5.9549504509,-4.8125871605,-10.2511321126,-7.0704678401,-2.7995108115,-5.9178650343,-2.6620100804,-8.0623796537,-2.3018615969,-4.224171553,-6.26526627,-1.2162622885,-5.0702771583,-2.489158529,-0.8153197484,1
-654.3622591883,56.0889868318,-8.7468733785,7.8151840236,-2.8425084687,-4.3429616169,-4.1494423146,-8.2354403797,-5.2926515084,-0.2017650288,-4.7474187809,-1.822977309,-5.1539869442,-0.521930933,-4.4581453511,-4.5172942244,-1.3022314778,-2.9532637955,-1.1538375318,-1.0373160126,1
-620.3401093836,51.7885666515,-10.0619475084,3.6904265896,-3.5061840085,-4.0913651959,-4.3475746216,-9.0496967451,-6.2291965707,-1.5499900586,-4.9282247007,-2.516379814,-6.5239375015,-0.2266012645,-2.9930761712,-5.7152970549,-1.8212932372,-4.1969234185,-1.8797046411,-0.3126904565,1
-652.8785862106,51.6739235634,-10.2687742336,10.9650901307,-3.7420510734,-4.2570854337,-3.601705365,-7.7590275742,-3.2290690986,-1.6644032882,-3.4845633011,-1.7710850568,-5.543550728,-1.158243398,-3.7028561115,-4.9459390464,-1.9318406029,-1.6470355974,-1.2563051207,-1.2834743742,1
-668.4666873459,59.1800609115,0.9258288389,7.5304350925,7.3649157853,-2.8034988589,-5.9199219278,-10.1624586513,-12.170192174,1.0123405298,-6.7590333373,-2.8787580792,-6.8870032134,-5.4914210178,-0.0853651842,-4.6896112112,-11.2156585036,-1.9849292864,-4.6657605391,-4.3251790802,1
-680.9144660913,53.7533570565,5.7920679237,6.0175190072,5.0651497478,-1.7864572986,-2.1281515477,-8.7167183924,-7.2528727116,1.8301015027,-8.0484282256,-2.6078165677,-6.09885656,-4.353874203,-0.6811000684,-5.001465759,-9.6835514528,0.1146558849,-7.3362149937,-3.3631559941,1
-686.5969368178,60.6434605414,-0.0068328553,9.823923337,3.2435238699,-4.4480562499,-1.4081319891,-7.0190887325,-11.6079677508,-3.8003349918,-7.0548879809,-3.4067900294,-7.0410682497,-5.5830146541,-0.1012855784,-5.1677777446,-10.1080126922,-3.4767586535,-3.6942836725,-3.2021949016,1
-691.869632619,58.5540035898,-1.1481851091,10.5134064214,3.9629862184,-3.1820451599,-1.7244569471,-5.9823743117,-10.3919471377,-0.1283884249,-5.4130480788,-4.4930720156,-6.1273491645,-3.9723275798,-0.1048917258,-2.7372212471,-8.8098772069,-1.765941697,-3.1331928648,-3.0449870259,1
-764.6105888598,46.5559880788,14.9691234986,5.1739240888,-0.4763006109,-5.8384481463,3.9203198251,-11.9174726271,-8.1721508401,-2.6710930056,-2.3723303088,-2.7288654201,-5.6294924183,-2.7215324344,0.7890553963,-5.1286902347,-5.4340766277,-2.2874682456,-3.4585967987,-5.0289706731,1
-764.5382936128,57.0389109205,8.0727586112,4.0093529526,0.4110585634,-4.7554089212,0.0686284002,-13.5897863172,-8.5323596728,-2.0209295504,-0.2369715151,-4.9242516194,-3.3155275083,-1.0109058949,-1.2687467869,-6.3475890747,-5.6418517585,-2.0974460909,-3.9912511323,-4.7901172338,1
-743.5489004188,55.3834177052,8.9761316362,5.6507122071,3.453026032,-6.7977830815,1.1414196399,-13.9141119573,-6.0111258491,-3.1979966184,-1.3636378386,-4.2764346695,-7.3638121187,-0.5948773988,0.3955725286,-6.9230507686,-5.4751168827,-2.2002708852,-3.2111987109,-3.8662709963,1
-754.6760966712,53.5333959169,8.8053410735,7.8496354071,4.1702688088,-7.4346222103,0.8322951296,-13.4625281293,-7.5001793936,-2.7830207949,-0.3330405001,-4.5723825822,-6.7630223721,0.4764102901,-0.7083708814,-6.7871165093,-4.7901704638,-2.9076153074,-2.9512020878,-4.8574935462,1
-597.7688467737,50.528769298,11.8504000775,11.8082997672,7.1521346884,-0.5825488114,-2.576487783,-8.6443622727,-3.9406008394,-0.2382301757,-2.9020881009,-5.0864617156,0.0113299799,-1.3164655619,-0.5632431556,2.2671611829,-0.7099054968,-1.4088547177,0.0091437244,-1.8914244375,1
-545.0753312916,51.9117148769,-0.0318763232,2.5825524391,6.0384086109,-7.2174454611,-9.6683474274,-16.5684937061,-7.9218634421,1.1030540373,-4.7584106304,-6.6289548554,-0.6156401712,-3.2739560137,-0.6433333632,0.2506789496,-3.852857344,-2.4437557538,-2.1101663488,-1.9092663198,1
-551.3593556218,56.7614785508,3.2804961024,8.481190663,1.6212419681,-8.1474804545,-8.6093802687,-12.6728216967,-6.4341101958,-0.5864968893,-3.4963156867,-4.9462017989,0.5201362797,-2.8301187841,-4.466368203,2.8162632423,-0.3458503831,-1.9860384948,-1.010654212,-0.6196708068,1
-570.7831787378,51.5111989751,2.0414391797,3.2842605168,6.0829500032,-3.0977417494,-5.8325143808,-7.7251771132,-4.570917656,-1.3135253759,-4.8310396822,-5.1727245275,0.1373816441,-3.4549135034,-2.5882654602,0.8540334467,-1.952817485,-2.7878993239,-2.178378229,0.1456749057,1
-738.3874810771,45.8362625691,4.3092589985,7.3571964045,-7.3161325025,-3.3557177735,-4.9487604497,-10.4312660591,-2.6974330582,-3.828534705,-3.6178193248,-4.0979965976,-4.4967616096,-1.2992808092,-6.1063627359,-2.5921186473,-3.7167363905,-1.5241132936,-5.2933968593,1.3943211916,1
-736.1932840828,40.9009452839,3.8061181383,8.1004658513,-4.0831545282,-3.0676826551,-5.2882133857,-9.9777318287,-3.2316066203,-2.6387971802,-2.8382011801,-5.0406569113,-3.7270448413,-1.8203801936,-5.1202371463,-2.4899807489,-3.1823871292,-1.7700412892,-4.9844312513,-0.2577484451,1
-760.1036203146,42.64431075,6.6935938266,10.4281702834,-3.8438461714,-6.4902624643,-2.8717056155,-7.667319397,-4.5278978115,-3.014347985,-1.8864267394,-3.3439991666,-4.636693327,-0.2153928403,-4.9617952042,-1.825209989,-3.5352090687,-1.5850791776,-4.9914177612,0.2821188823,1
-758.6592291804,43.7638988221,5.7131603987,11.2652717015,-3.4909692936,-4.0749654406,-3.9675827559,-7.6580617555,-1.8508552368,-2.066815367,-2.1477988642,-4.6414284725,-3.9835293728,-0.501358874,-3.2607936894,-1.4078217323,-3.2047600135,-0.3656491054,-5.2595530765,-0.1162173205,1
-634.5630073768,52.9754190229,3.8550075994,8.5876986371,1.635099121,-8.9924475128,-14.9067507346,-6.7977221296,-6.864635542,0.0164923882,-6.6322577076,-5.0057300414,-1.2381225659,-6.9819234409,-2.6629751582,-2.8487099526,-6.6111052197,-0.8945037729,-7.8747251745,-4.0309921041,1
-670.7526902971,59.2703787127,6.9075964814,9.4191354333,0.5768275671,-6.9121260074,-8.4409868192,-5.6290518981,-6.8551292331,-2.2649955875,-7.3121007321,-4.9535817318,-1.8292158952,-5.7391324699,-3.0005211884,-4.7780635945,-5.213806171,-1.4995679165,-6.1156777413,-2.5985212592,1
-640.8285901409,45.1584428194,5.5067901324,8.7487976482,1.2916711672,-8.4554170374,-11.3945358842,-7.569986346,-5.1242303751,-3.2311394154,-6.4787061336,-1.9615324676,-4.1175358581,-5.3645516482,-3.6818067654,-4.8183839873,-4.5965856688,-0.3784839742,-6.9625036249,-2.7242301271,1
-678.1323275481,59.3387903071,6.1563783061,10.5655730662,1.1830468375,-7.8424658891,-8.6286205756,-5.3824432145,-5.389717352,-1.5955253139,-6.7134881916,-4.7794033636,-1.7264714408,-5.2186918564,-3.5142094171,-4.3763865452,-4.9343187116,-0.4685049126,-6.7949826831,-1.4170581833,1
-717.4521931618,78.6922360556,12.9345836094,20.4565247108,9.6623234212,8.1251762933,2.8972262902,-5.4233887109,-8.7269046613,-1.4286716444,3.5290372137,-1.735457151,2.9210772198,5.453988602,-2.4134487768,4.3046192734,2.238716131,-2.2725205258,0.5488486514,6.8249919977,1
-708.543561988,63.9317094197,11.5232541012,21.3079266338,8.5950186067,8.7369215707,1.8611472716,-5.8771681877,-7.8536589604,-0.9134732377,2.9246160688,-4.2089168934,2.1010663441,4.8196684312,-4.1047053192,4.9198035325,4.3637048256,-3.3651766825,1.664738546,5.8004059868,1
-727.6757026161,70.7253720229,12.0599591499,23.953650841,11.7517480075,11.0100731676,4.441936617,-1.6663444645,-7.9223586224,1.2273426987,5.7410263618,-2.814085807,2.6264634646,5.1283991005,-3.4083429128,5.4362982356,4.0240635848,-1.4960027349,1.7685587148,5.70598636,1
-725.2517343519,78.8129422817,12.983938355,18.1242220796,8.637459193,7.2415154476,5.0121138388,-1.5215910751,-5.7968059178,-0.817660939,2.9643648658,-1.6968340395,3.0539734469,7.364032717,-5.1525431666,4.9724913287,2.8554829584,-1.8721930847,1.4969220476,4.7062455664,1
-618.8974480182,57.5460555266,3.1293898914,11.6989002933,6.7709257081,3.0291023909,-13.976498336,-9.3373175594,-4.7665510484,-8.5057682736,-4.0511543605,-1.0531912681,-5.3301933811,0.2076397198,-5.3955574022,-2.1641330504,-2.1216765216,-2.9793033739,-3.2047453713,0.1092442318,1
-632.8486496844,61.6007704152,0.270944229,12.2261734337,6.7296241867,1.0971274507,-11.8962948067,-7.4748502469,-3.0474834631,-7.9655562612,-1.9010065855,-1.2651020057,-6.4804164663,1.5065007039,-5.1126580216,-2.4353410251,-2.9562016334,-3.3568941714,-4.0560282331,-1.3700975079,1
-622.4203158728,58.9087053396,-1.7702227482,10.0742561323,5.4260561697,-1.3601412376,-10.6774694735,-8.1367255393,-2.3460469892,-7.7003464852,-4.041626277,-0.5495196668,-6.18178345,-0.306119553,-4.9673746948,-2.7915829384,-3.3410266094,-3.9562501223,-1.8386601042,-2.9854552589,1
-626.843506959,69.5758263878,6.1991672047,16.1175568504,12.2231201423,2.8470881653,-6.2158160987,-5.0112861449,1.3166133595,-3.4578959704,-1.4303276538,2.0135515413,-1.8765815526,3.5257069638,-3.0326340238,1.5637977217,1.7854348632,-0.9091424769,1.6476704955,0.4434863159,1
-737.4996222024,72.7597327351,5.184262252,18.2655551283,13.6037793161,3.6332548011,3.6137235602,-2.4155563897,-0.2170022838,4.9030692686,3.3110657189,4.3617280702,-0.5466674703,1.7352141923,1.2932576893,5.5993241496,-2.2349370449,1.9774503465,0.5828669283,4.3047157229,1
-719.7302151475,69.7842945913,8.9846583235,16.6275298723,10.2441495204,1.5002788784,3.1122221604,-4.5006911982,-5.4228365336,4.1998399388,0.3763184381,4.8601463892,0.3277531697,1.3729366604,-0.5122611611,5.8055377462,-2.07302544,1.5071619897,0.7070202564,3.2566586863,1
-713.5157472678,68.6895693611,8.759703197,14.016324716,12.5358909799,1.0609774676,0.8094008255,-1.6600421914,-1.6057164773,2.2671552973,1.253811797,3.0302011167,-1.2335560511,2.0962789871,-1.3081906132,4.5305335672,-1.4155313161,1.1441912358,1.4596902778,1.3315480893,1
-693.3308451325,66.4999474669,3.3120746376,16.4929147664,10.1575834201,0.0188781093,2.2528947473,-3.3674884959,-8.0862104144,2.4335546821,1.9678821749,2.3503033077,-0.7306854707,0.5595351615,-0.4704412702,3.7569871539,-2.400327496,-0.8668134225,0.2913493736,3.726717152,1
-730.9554212923,64.2775671047,3.5688585148,9.2285815467,10.3615727567,1.8697002507,-1.2598779269,-1.7843646239,-4.6115179677,-0.6571423018,2.4043537531,-1.3267298285,2.1532237215,3.3670355023,-3.6398269152,2.6522961964,-1.9215380334,-2.5550676778,0.4575458683,2.0274264473,1
-707.643837474,57.0439555957,-1.5320810155,10.6870947069,6.9168177144,3.8988836433,-2.7900720473,-3.4525144547,-8.3745445661,-0.1292938659,3.4141740964,-3.4453419954,1.8464447247,3.5910753451,-5.5678402387,4.7916431366,-3.1048036567,-2.6850486761,2.7684234681,0.3160122031,1
-723.3116242403,60.5949514667,3.2530009399,8.3481064174,10.004709021,4.9423799328,-1.9362073918,-4.6870076659,-5.8276687638,0.2700704288,3.3161494357,-1.3739377646,1.9601123066,5.1410687901,-4.1464571399,5.3864840038,-1.8822675382,-2.1307734384,2.3728001464,2.443228202,1
-724.9327488874,65.4455321288,5.1547686237,9.1813718764,8.4315228431,3.7995831959,-1.785768417,-2.6687414973,-4.3777926367,0.7751538235,2.2503457992,-1.2159930935,2.4574969526,4.5522300427,-3.2793341475,2.9581544158,-3.3031232059,-1.0833837939,1.0463178257,1.5685482701,1
-699.0510384454,45.686475643,-7.3057653127,6.1404382702,-6.4649987288,-7.7635485993,-7.3670171473,-13.4672218305,-12.0912199252,-5.451884214,-4.6682982791,-6.0715190958,-8.1015470479,0.3452306774,-7.018715786,-5.0358438627,-5.9951455866,-4.0644099433,-7.1551513337,0.7572748552,1
-693.3359773893,44.3590731116,-8.0070822131,8.9089205603,-2.9667905905,-4.9672930744,-5.5599603859,-11.4530322171,-8.9449222022,-3.1247594285,-3.7833125328,-4.717005134,-7.6742513199,1.6317901469,-5.6392636664,-3.8616647972,-3.2456906378,0.7166516306,-3.2974343622,4.4077271678,1
-722.1659847434,47.6236283015,-6.2451623815,2.269521331,-5.2110406516,-4.3772824666,-8.0262054546,-13.9126227483,-9.9951329265,-5.6842677019,-5.8330321793,-7.2198227682,-8.8454639261,-0.5518434273,-7.7377099171,-5.3503055018,-5.0902119061,-2.4928160216,-7.2049908422,-0.7904015635,1
-723.2581568524,46.7840151038,-3.2073282118,2.6056709716,-5.2029319163,-4.4710462543,-7.3498564124,-12.9287554874,-10.5197530611,-5.2314295775,-5.4761149034,-6.2091950853,-9.1455815746,0.1578309843,-7.5051155887,-6.0453252472,-5.6153331749,-2.0313675463,-8.1998349264,-1.6418249621,1
-690.4012370077,58.3799042726,0.4917250111,12.7191801904,6.4371557502,1.3354541124,-1.3863336979,-4.2368988937,-9.418874864,-5.6146832656,0.7558919954,-2.5022494593,0.4319567499,-0.485284523,-4.6350555813,2.1937212197,-3.8284509398,-3.520043911,-2.1174520555,2.1734376579,1
-685.935718853,56.3264321095,3.3092951711,12.4378787994,7.8894904015,3.2517758012,-0.5688263494,-5.5504817406,-9.9351682947,-4.9761861705,1.1232929415,-0.8053391872,-0.3527790014,-0.7003283367,-3.6720563587,2.9026484464,-3.044598355,-2.7417554864,-1.3414116125,1.251655772,1
-703.6995581104,56.6953499213,1.2431873022,11.9602789545,8.5820477857,1.6374939233,-3.1398404594,-1.8981838702,-9.7658299143,-5.2302222298,1.583110305,-2.780693891,0.9532502406,-1.0457584392,-2.896888949,3.5918480329,-4.1218713119,-1.3043528525,-2.8454700596,1.1929846085,1
-691.189682302,55.7599522479,-1.0445248958,14.5776790676,10.0910375574,0.2092759127,-1.2499200828,-3.8051254937,-11.0222496084,-3.8698284011,1.7582729448,-2.4617875944,0.0983705672,-1.2531723739,-2.9791225675,2.6876778653,-4.4680958825,-1.1781776195,-2.5944025696,1.0629539566,1
-713.8743159455,55.5837257063,-14.5463036626,7.8320274184,1.3995288559,-9.3317676971,-11.7052308527,-9.7233019314,-8.4040164564,1.2594126542,-7.5914228323,-3.5280278421,-4.5852774817,-4.4915078749,-4.5631691723,-4.0804382284,-3.4610013755,-2.3989512246,-5.8111164643,-3.8145630989,1
-739.1933584584,52.5235048721,-17.4197310832,6.8546012764,2.8903579839,-9.7242108899,-8.4949735611,-8.8181434405,-8.7791453778,0.3836878164,-5.2938912767,-3.6285065989,-6.4287244349,-5.1328039375,-6.4947510685,-4.3940233916,-3.6115784403,-4.3891975202,-4.3084978205,-6.719660038,1
-698.2704764455,55.0482132904,-18.1540201822,11.7522759282,2.4575988883,-12.0384786547,-9.9994531647,-8.7599507088,-6.1730971302,3.1049488787,-5.1226560191,-0.4712919371,-5.6282974239,-2.5367723244,-4.6409256909,-3.9457933132,-4.3105153915,-4.5771482227,-5.3211266174,-4.3721204468,1
-706.71659604,52.399258151,-10.5183786808,8.4180308137,2.1905594372,-7.9139638442,-10.6023612833,-8.8449903453,-7.4957351792,1.936645735,-5.1540550407,-2.6737911717,-2.5899299682,-4.5322349998,-4.3135011693,-3.4799063449,-3.0932688258,-2.9427537543,-4.1261610623,-3.3608692043,1
-654.5917871224,73.238089631,7.0190141017,16.544613736,12.0433663629,-1.7390052711,-4.9925868364,-8.3861184176,0.8149744694,-1.9903507795,-5.0955455442,-0.7791771781,0.9436811956,-1.1343092847,-5.5373580456,5.3908439749,-7.9528498145,0.658002545,-3.5150120361,0.3611841012,1
-650.155215647,65.2969412988,8.7109243233,11.3017618712,12.0205746465,-1.1643416363,-7.4857372357,-11.707056042,-2.7639419807,-3.6478251445,-6.3844978853,-2.8043766261,-0.7397019223,-2.4718778685,-7.8940448403,2.7939338997,-7.9537054899,-1.4691357655,-3.1486067355,-2.7461128868,1
-650.1724440681,75.2042296281,8.7513335415,17.0798104056,12.5428988159,-1.6950807843,-4.7667847581,-9.1446251062,2.0713655596,-0.7482414553,-4.1022983544,0.8307994349,3.5848012324,-1.3228720128,-4.0632768197,6.5517918225,-6.9142656902,4.538928731,-1.1815682511,1.080907602,1
