feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,label
-600.1794011675,67.1221694672,5.3716236453,11.406911075,11.2579952078,-5.8671246928,2.6329614018,-1.6666942204,-9.3905774984,-1.4786605407,0.0142409029,-3.1215937737,-2.8182753155,2.5896365035,-1.5707041355,-1.2293376503,-3.306754433,-0.4733038053,-1.4102920385,0.6192150198,-3.3836433131,-0.1846669164,-2.2661426051,-3.535120053,-3.9737559686,-0.7705032285,-3.8276439349,-1.9960423206,-1.7374183328,-0.3744990731,-1.5290190497,-0.3916022057,-2.8297356781,-1.0616927103,-1.8526433715,-0.3339136581,-1.5857928615,-1.8729008818,-2.5492235731,-0.7687008393,-3.026108609,-1.0264121409,-2.818016876,-1.7546673939,-3.8917464916,-1.6535538354,-2.4259599778,-1.5040843095,-1.6972247616,-1.4897316562,1
-613.9620466954,70.6885378949,4.8337322299,12.3657960934,10.1753142064,-2.5115529204,1.8294000206,-4.2931480216,-11.269132877,-1.9148306489,0.1940158312,-1.6024109931,-4.8363883428,1.5306654617,-0.9135951378,-0.1901404033,-1.6963503309,1.6648408351,-1.2812798998,0.4242682976,-4.7557673382,-0.4280021285,-1.9215669204,-3.3885398906,-4.6865793605,0.1602984116,-2.4746441265,-1.6219706107,-1.8425903772,0.9121530444,-0.8582110983,-0.1936724058,-2.9298656153,-0.187972282,-1.4977488719,0.9450682323,-1.7383076826,-1.7626007948,-3.0342769204,-1.6536784713,-2.5252766499,-0.2151372516,-1.6919841677,-0.6423364104,-2.6011389039,-2.0643210134,-1.8457173872,-1.6652219863,-2.287199281,-1.7426007947,1
-704.1836778322,57.4809265724,22.0022400421,20.8822265695,11.3680080381,6.3442365719,4.7805307626,2.4473576042,-2.327832332,1.4237049162,2.1386108134,1.193300802,-2.1279268338,1.516901303,-0.730000602,5.3211385601,-0.2033069687,0.8462415654,-1.4939395356,2.1785629069,-3.6492521519,-0.213025804,-1.1034822118,1.8248147238,-2.8961850445,0.7016795696,-1.4742494746,0.0898584111,-0.1931398119,0.4911691052,-0.344415643,1.1023682264,-0.7131859566,0.6738054343,-0.8557310797,-0.4488899985,-2.1972165589,-0.4233468033,-1.2182088978,-0.9427634121,-1.3598121442,0.4940300582,-1.3564751573,0.5465420815,-1.2795597158,-0.1402799089,-1.9438603204,-0.146253386,-0.8311604072,-0.092479946,1
-706.9341059226,67.5812792897,28.1236689147,24.8635440619,15.2005975008,9.0120121994,5.3291050107,3.3611459019,-1.5598861257,3.0613029253,5.1884604305,3.4015384977,-2.1134103808,2.1804421889,-0.2485532072,5.9635763186,0.6167334362,2.7476181081,-1.9959389664,3.4092003312,-3.8626953207,0.0165569428,-1.0372153836,2.2777448432,-2.8864042443,1.8457973601,-1.8976591387,1.4121378285,-0.4071688452,0.9829106434,0.1928744938,2.1641201789,-0.3366528611,1.3408223474,-1.1881668724,-0.3048081384,-1.2815846668,-0.1364224073,-1.8417627711,-0.2270578522,-1.6677661336,-0.1517426398,-1.9789455987,-0.6468573303,-2.4449799531,-0.7098927297,-2.5104094793,0.4020246112,0.053146467,1.0724278385,1
-727.510552694,60.4339291866,24.0425813456,18.8972359805,12.5848787456,6.3236175247,6.2942902137,3.493441619,0.0166651792,1.526458839,2.4369406463,4.8032189691,-0.7070677595,2.5845857321,2.1436794436,4.95549832,-1.2829311573,3.9271176109,-1.0842748376,3.1349432517,-0.9964969445,-0.0671457479,-0.5184397408,1.4470334195,-2.6925967934,0.2777657305,-0.9440013245,0.3418967354,-0.1605720992,-0.8671686127,0.0298863882,1.5757994495,-0.1442880569,1.7132009504,-0.6475121282,-0.1106931841,-1.8695900541,0.0653191561,-2.0270251719,-0.568685747,-1.3643930454,0.2353313459,-1.5735732301,-0.1323567408,-1.4813137675,-0.3234059139,-1.9120212967,-0.3501798324,0.109797266,2.0882300515,1
-702.1555671123,63.1468001922,21.9002009189,16.8284217378,11.5174797785,7.165288292,6.8069738721,3.531970544,-2.3846398931,1.0425064026,2.3929043181,3.4552132461,-2.3926943318,2.215092485,1.2192309599,4.9740932509,-0.4743784933,3.2733333797,-2.5129974755,2.2388139712,-3.8470001469,0.1103953431,-0.4277794991,2.3870170551,-3.3009392197,0.6857664367,-1.5711440382,-0.6171502745,0.053832449,-1.1629705308,-0.8407333316,0.134267021,-1.8052587263,1.0879229003,-1.6498206269,-0.5640373536,-2.1463721804,-0.6315379472,-2.8497477974,-1.1906287044,-3.0004543515,-0.2359223597,-1.9225632563,-1.0432203554,-2.4884234782,-1.552747852,-2.6395678838,-0.5418542059,0.1848028576,1.422770958,1
-683.0578974428,62.4680381797,12.5510698373,18.4602354792,9.3597670296,0.291888856,5.3305918264,-8.8475514183,-1.7754305779,-2.5872771441,-0.5662653935,-1.9292298194,-1.6300321557,2.1955399052,-4.0379750743,0.316372274,-2.4322751698,3.4304053923,0.8263934308,1.3014818521,-1.5295833103,1.5687672295,-2.0705385657,2.1664330188,0.5555851263,-0.2235041442,-0.4925601067,0.7310286764,-1.5146768068,1.719165208,1.057742668,5.7244797131,5.1304891235,7.9294196351,5.8690899182,6.7788173977,2.8201141624,3.2415695519,2.0475547157,4.3329976384,4.0176603835,4.2180652487,2.570029597,0.6740379575,-0.8042749092,0.7764416768,-0.3811303352,0.90493269,-0.8934128224,1.0025423302,1
-682.0725477087,66.9356384617,8.580050547,19.8620700685,10.1490729239,-1.0467045734,7.8402378172,-6.8476200655,0.2742688195,-0.7296547099,0.0360302567,-0.3384572152,-2.3687133864,3.1025172502,-2.2622899535,-0.8803459535,-2.3875040624,3.279836608,1.1661986034,2.4039030409,0.0742348652,1.4518103436,-2.136202133,1.7058786516,-0.1587727067,0.612442085,-0.450519527,2.2739722992,0.877070826,5.2637440454,1.9057358968,4.5397275392,0.1330583701,4.5101549245,2.6115714225,6.927801305,5.2638339066,6.572414561,4.3019389389,3.8734639795,3.7190129657,4.1127519344,2.9418832735,1.1649966398,-0.0464780213,0.6174927231,-0.9641448719,0.5831672024,-0.6772886769,0.2139151576,1
-683.3022417488,66.909806244,10.0150040321,20.2516192848,8.1783921948,3.1276019478,5.7518350127,-6.293849308,-2.2719020022,0.0426940212,1.3677789324,-0.4329180158,-0.7755957375,3.2662931851,-4.1669846098,0.7350495554,-2.6984760163,4.3338262483,0.8420443613,2.7862550463,0.3676611981,1.5785807584,-1.5988796073,2.3481852617,1.0416862411,0.7935408661,-0.8935182479,0.3682245075,-1.079830332,1.7734587605,0.0805824006,2.6656615742,2.2993119966,5.7360355419,4.7699892145,6.7542036842,3.3456225216,4.9260510625,4.0392914632,4.2841313319,4.8770334777,4.0896756558,3.1543535771,1.1276518898,0.6659064681,1.9995697326,-0.2644397281,0.3700285009,-0.4894069077,-0.1051477566,1
-694.8612412706,63.9092260515,10.3900358242,20.0506477828,10.496702013,0.3277736686,8.2841127564,-8.5979871451,1.3802654994,-0.6132245022,1.0049242774,-1.2877651701,-2.942540914,5.0271236121,-2.112745214,1.193133537,-1.5163568433,3.7473805772,-0.2023022708,3.5977271542,-0.9035811818,1.8947644803,0.2544755352,0.7384278624,1.5505435996,1.3947674285,2.0511104367,3.8503978363,1.4884060255,3.7576570468,0.0900377073,2.6878292879,0.1506677874,4.6388614604,4.2484846573,6.8290503574,3.5945074681,5.2518529099,4.5981318243,5.7204781185,3.3682738595,3.368975386,0.9446670595,1.3800599953,1.8993887604,1.4107066911,-0.9028549245,-1.6119008646,-0.6532531498,1.0716958379,1
-694.0316858351,44.8167767128,-6.4944655261,0.8007221719,-6.7595507579,-7.7676561885,-9.9266103274,-12.6711814592,-9.1348428342,-6.2775930159,-8.7338604664,-4.452623039,-4.8184289789,-6.4569856916,-2.9106118389,-4.8175721172,-5.935596948,-3.1190922824,-6.6658440244,-4.0564532906,-5.4653682181,-3.5879830036,-5.2219147295,-2.1329398654,-3.9480055671,-0.0795269442,-0.8905939966,2.2100918332,0.4588978181,3.3974392477,2.7864670193,5.8335599203,5.530624526,8.0077173331,4.2687220222,5.1627972943,0.4140309913,1.8038583087,-0.4326997461,1.1423198279,-1.2849662266,-0.1273174105,-1.8865649759,0.2441597951,-2.1798890449,-1.3308241688,-3.1231318813,-1.4135725964,-2.9083061864,-1.3875570626,1
-681.348931565,44.4193190817,-6.5952179295,3.5612982517,-7.1004575293,-6.0442824678,-9.8309420742,-12.6272831418,-6.3452109604,-4.9401124396,-7.1748056286,-1.7469443636,-4.1780345063,-6.9360785046,-1.0807325447,-5.7067723723,-4.9031692344,-2.7925295121,-6.0465233568,-3.1343100987,-4.66464972,-1.0149580848,-3.0091734567,2.2474187518,-1.1841127675,2.1883257469,-0.740532916,2.0411827344,3.5193819133,6.6458874074,6.4308764369,6.3163447239,1.7945721396,2.2992943284,0.1699853815,3.5101284583,1.0731828543,0.3458600135,-4.8524064164,-2.1002179822,-1.8275655134,0.8341361629,-3.026566751,-2.9348575593,-4.4759408262,-1.1363779046,-1.56891525,-0.3190106141,-3.2742991295,-2.7229097522,1
-693.7769843565,43.2013443228,-11.6575332735,1.3156625861,-6.5553843073,-10.0048187083,-9.3504146527,-12.7801602022,-9.264297554,-4.9403204633,-9.6410818893,-4.9224231909,-4.0523087502,-7.3184822227,-3.889036541,-3.9613235951,-6.6300120477,-3.6459821868,-5.5477265457,-3.4118395789,-5.5798523244,-2.8715953683,-5.4825475854,-1.1419404873,-4.5894329522,0.2804566655,-1.7730018569,1.6403092724,-0.2037610696,3.4221059562,1.6438646537,6.2540626805,4.4942674607,7.3327078177,4.0334970391,3.8843983754,0.7296600945,1.9638216598,-1.1389644357,1.3716834721,-1.6624031607,0.3769758996,-1.7293288679,0.2420956633,-2.8572063874,-0.7199770617,-2.6573353343,-0.3711247925,-2.1282411896,-2.0355742528,1
-678.9459547135,40.6074793037,-4.7658614317,3.7823344885,-7.0501741071,-5.6934953445,-13.1511468116,-13.5578146199,-8.0098505258,-6.1982263233,-8.354295998,-3.7332672482,-2.3345224649,-6.817512859,-1.3974289137,-3.8028755808,-6.0191142737,-2.1403064663,-5.5949041659,-3.8971158943,-4.5547433183,-1.4864715652,-4.2746969623,-0.4397808889,-1.8139586734,1.348668813,-1.3234715048,2.493818522,1.2609558364,3.8858614473,4.1173283647,5.8384472245,2.7944346137,4.6518469104,2.2340234732,4.3361596878,2.2100494183,2.7135214539,-2.6645395714,-1.2338588827,-1.8827096367,1.2436662914,-0.8326119293,-1.849150241,-3.917637809,-1.1500872337,-2.0345152709,-1.0201794118,-3.862282778,-2.1441879293,1
-707.3824935382,55.5948854115,4.4507500828,3.9792701643,6.6071067589,-2.2647012798,-3.0066694627,-5.9477690443,-9.9193937393,-5.4179987741,-0.2062470067,-6.056978152,-0.4286246537,-0.8035058706,0.1101292001,-4.2078340179,-6.690176082,0.9882650304,-6.3556454059,-1.3752684685,-7.6411030839,-2.2649088384,-6.0913726605,-0.438086955,-5.4836610083,-1.6957705623,-5.0488794528,-1.9848801083,-2.773788934,2.5200568738,1.1725183316,2.9638737587,0.040150812,0.8366404465,-0.3134864176,3.2033969222,2.8312018271,7.3266145484,4.4963132825,3.4806931378,2.8431959723,6.1793544965,5.5190635382,6.0907129832,1.8367083069,0.323503506,-2.0111138085,1.0440083128,1.498316313,2.5892755594,1
-686.0150113793,51.9354637225,3.1415046153,-0.3724375283,4.6127343829,-1.5195229049,-7.2419470317,-10.4517131567,-10.1913043689,-2.5060485951,0.1720708677,-8.1967011232,-3.6050526942,-1.1516977709,0.4523725731,-4.1650243262,-4.8184070633,0.7109627279,-6.7353458748,-1.8330964823,-6.6093093926,-1.1386097045,-6.7500863951,-1.1663840781,-4.0352343508,-0.7298725069,-3.5492075644,1.8100627627,0.0740177017,3.5756752727,1.8606577565,4.0285325322,0.3590109769,3.3674156432,3.0597333276,4.676607972,1.7308586181,3.0235965971,0.5396510737,1.3042568519,2.8670578435,4.3449557901,3.2133855832,1.8815607291,1.3640517206,2.382039044,0.8146271864,1.2199128863,-1.1790643911,-0.8594753295,1
-670.4414290644,42.2319036591,0.4339499765,1.4726158012,6.7212562081,-4.234560558,-8.1916992192,-7.4508731665,-9.7463066272,-3.4512549539,-0.6678755194,-6.6656584561,-3.1631306931,-2.2056624088,0.204481227,-3.8435719916,-4.9982290177,-0.4523235628,-6.2999619583,-1.0678016282,-7.3950996815,-1.1681275723,-6.0192555284,-2.1985144645,-5.2023554581,-1.7852860654,-3.6109685519,1.3964488272,-0.1970162347,3.3262883632,1.2751760578,2.0162315265,-0.6193778464,2.5756604761,1.4031569802,5.205410093,1.4544316656,2.4068782525,1.4954859731,2.2228457994,3.3224376943,7.2790212331,5.1586584495,4.5063022939,1.0969643747,0.357971079,-1.0635908757,0.9365476345,0.6791385564,1.252922762,1
-679.3863974963,46.2911496396,3.945307102,2.9879394634,6.2910205581,-1.1192160374,-2.9723032174,-11.3073051312,-11.4907348144,-2.5340849701,0.87741293,-7.5598188609,-2.6241178796,-1.5717215565,-1.0521889839,-3.104126901,-4.7891912157,1.2851450378,-5.8600014153,-1.7584398081,-5.0614138169,-2.1921128704,-6.0605894001,-1.203933499,-4.6687144994,-1.490232327,-4.2158355117,-0.2950748813,-1.1583740915,3.6357758801,1.0306877342,3.8430105407,-0.294263914,3.3469666008,3.4385681344,5.5224695481,3.7914088789,4.4487741051,0.5869887395,0.2498656869,1.0191804909,4.2129617821,4.8829653131,3.9830908109,0.7931807022,0.5260312523,-1.3625514667,1.353899642,-0.149955623,0.9512983568,1
-768.0760518885,67.1141872306,15.8641485723,20.4219703242,13.0351398484,7.9934915229,0.2940082448,-2.8778803706,-2.7187549549,4.042193646,-5.8859003612,1.4222179374,0.3806978578,0.4766427928,-1.2733923975,3.1707503264,-1.9756369081,3.5937448375,-3.7909856363,2.2257883717,-0.040840681,0.0570898845,-4.6582765377,-0.4998616392,-2.5426161387,-0.8942855197,-3.3119365495,-0.057424781,-3.6731603634,0.6478531559,-3.3048570703,-0.6505906189,-2.7434698746,-1.0149276467,-2.6834446784,0.4911132528,-1.804158581,-0.1945804168,-2.816647174,-1.8796278693,-2.5929818893,-0.7547468661,-1.1780510327,-1.2049469562,-3.6766258224,-2.1645156223,-2.71262221,0.0901528248,-0.7356114144,-0.6597158167,1
-741.9853041228,91.8207789079,22.3315790786,30.9625253379,23.3829434617,10.670720794,4.943654151,6.0189901522,5.5663788213,8.3476626375,-0.4457311633,6.6896487042,7.1306075231,4.2503968045,3.3230729125,5.468667879,1.5929730663,8.5303274232,-1.6997283023,5.9837475265,3.9948541572,3.5905881218,-1.498854995,1.3151675923,0.959120836,2.2267453824,1.7219783941,1.7862421124,-0.2770253698,3.0977792513,-0.4174096232,2.8558914233,0.9608636346,1.7691410432,-0.6386457428,2.9555974011,-0.1671245751,0.734665403,-1.8452037278,-0.8252432719,-1.0448381781,0.8420775364,0.2845521492,-0.9609014629,-2.2635583448,-1.399293247,-1.1816858475,0.9346093079,-1.1216011855,-0.959066666,1
-777.3127224411,78.4227011597,14.4752991212,20.2365411185,13.7713354384,5.6016801839,1.2088499229,-0.9896571547,2.6824682064,5.6016376571,-6.7427146296,4.2643246987,3.946899785,-0.2880600985,0.89390234,2.458458392,-3.0999612831,5.6966432537,-5.9038257308,1.0430511547,1.1993094736,-0.0096468245,-3.414523482,-0.4060427123,-2.7239512847,-0.6515240188,-2.2959363362,0.6204934457,-4.0422377144,0.4821086577,-3.4315563022,-0.6643060083,-2.4476378861,-0.1232293735,-2.8849051546,-0.1611833613,-2.0487858574,-0.9269109623,-2.2169901996,-2.6977374762,-3.2025782049,-0.8172958598,-1.4851518853,-1.0907864131,-3.0656532953,-2.5778271365,-2.8280888809,-1.0585126303,-1.7141454326,-2.2117447808,1
-763.2173789633,72.1856465469,12.9301050577,20.6994235248,12.4825335514,4.9167019007,1.239720486,-2.1838129438,-2.2554454431,3.9103069041,-5.5916998763,2.2230477849,0.8545592748,1.262710266,0.6642944088,1.9440191448,-0.6346554969,3.2562301459,-4.743911953,2.6077268458,0.4327517629,-0.3524414991,-4.4197824514,-1.5517131423,-1.3396863977,-0.603786061,-1.9935740446,-0.9579495626,-2.5963008047,0.3827857899,-2.7296211858,-0.8922365481,-1.5541773533,-0.55599648,-2.5574025209,-0.2631460428,-1.3025060941,-0.9999944485,-2.3495655354,-1.3045420368,-1.8517612527,-0.3072083913,-0.3208420845,-1.119941443,-2.0100015012,-1.5660536427,-1.3080586959,-0.4998925637,-1.7380080639,-1.376272125,1
-630.0590899259,54.6315289269,-6.4614301032,3.8474321841,13.4370333269,-6.539992682,-3.1807046844,-1.8859592835,-10.5373337086,-5.8430766518,-0.8719861295,-1.3949382273,-5.4556304657,1.7773639416,-6.5335691358,1.213150563,-4.403808338,-4.6030685264,-4.1726464164,-0.5777312874,-6.7610504728,-2.1519922304,-3.3855221164,-2.6844128767,-3.9954667769,-2.8204838827,-2.9152738286,-2.5517345378,-2.3588019844,-0.7349658379,-3.4024746936,-2.8811364861,-3.8785759201,-2.8280872459,-4.577175712,-2.2175154542,-1.3356299985,-0.7186245789,-0.8201668751,-0.2077501612,-0.4448275699,2.0168255621,2.0511891037,3.5870243928,2.2564026399,0.9453041299,0.1447968087,1.8489212402,2.2235783443,5.4808577519,1
-620.4849359236,60.5654277783,-2.6267695392,4.6733454168,14.7741818517,-5.4302975663,-3.7627206209,-2.8112911046,-11.0900299089,-5.0641001618,-1.1377810247,-1.9742378899,-5.3261731604,1.6720511609,-6.9005122426,1.0998900407,-4.8346078042,-4.1565789336,-4.4299352076,-2.0140912649,-6.7036728907,-3.1619037879,-3.4583705329,-3.1144273679,-4.8939021871,-2.712338526,-2.886381802,-3.0561652486,-1.7612880966,-0.5099976403,-3.9400557562,-2.3228121931,-3.1424757752,-2.1799662314,-2.947997413,-1.8043721729,-1.4750535974,-0.6893612108,-1.1885838766,-0.1180093911,-0.0867627112,2.6649486097,1.6642994629,3.3151464558,1.7293871648,1.3366073885,0.5655992035,2.055871993,1.8696192729,3.7534156388,1
-625.1916954179,61.3618928673,-3.9964253302,7.4979457243,17.2786850061,-3.9747437033,-0.8778401641,0.8460999027,-7.8707117741,-4.7630661493,1.9632162375,-0.2003292097,-2.8658769013,2.4996328418,-4.7195286316,2.6395558432,-1.7647765841,-2.5102127829,-2.7849949088,0.5729327936,-3.6467998091,-0.0619221274,-2.8041844815,-1.4941982335,-2.5609919975,-0.8647799057,-0.9401889182,-1.8353993031,-0.907766327,-0.3983954051,-1.8993737563,-1.2495090716,-1.9625116709,-1.6806584105,-1.9223082135,-2.1054354262,-1.2866742189,-0.7406369921,-0.879264116,0.958318824,0.6141217921,3.585283089,3.1219293868,4.7363813925,3.3769515725,1.9654519486,0.4968365464,0.7212014617,0.446104377,3.1525088162,1
-648.0737928288,62.742189128,-2.7098164257,7.3614111955,13.4059969683,-4.1544620975,-4.703222325,-2.7462491329,-8.8069561008,-6.5561705472,-0.3729049604,-2.3784873409,-4.6107545602,1.4454561627,-6.1250173519,3.1280617067,-3.8328126337,-3.3653188801,-3.4568537386,-0.6354784646,-4.9344827425,-1.3999388193,-4.4710217268,-1.9438919272,-4.2483206238,-1.1933029871,-2.4130345161,-2.8250802547,-2.4861515413,-1.0864464119,-3.2495312384,-1.1374694501,-2.9274123666,-1.8144681595,-2.5988605984,-1.8446784066,-0.683982021,-0.042020679,-0.877572852,0.0610769919,-0.5446204789,2.0356729885,1.0433873759,1.8132322783,-1.4890318715,-1.9308732744,-2.3634645536,-0.3517834532,0.2328801406,3.4384341038,1
